HH1,HH2,HH3,HH4,HH5D,HH5M,HH5Y,HH6,HH7,HH9,HH10,HH11,HH12,HH13,HH14,HH15,HH16,TOHL6,TOHL7,TOHL8,WS1,WS2,WS3,WS4,WS5,WS6A,WS6B,WS6C,WS6D,WS6E,WS6F,WS6X,WS6Z,WS7,WS8,WS9,HC2,HC3,HC4,HC5,HC6,HC7,HC7A,HC8,HC9A,HC9B,HC9C,HC9D,HC9E,HC9F,HC10A,HC10B,HC10C,HC10D,HC10E,HC10F,CD7,CD9,CD11,CD12A,CD12B,CD12C,CD12D,CD12E,CD12F,CD12G,CD12H,CD12I,CD12J,CD12K,CD13,SI1,hhweight,wlthscor,wlthind5,helevel,hhsex
84,7,2,1,22,11,2005,2,65,1,2,5,1,1,1,1,1,1,2,1,13, ,10,2,1, , , , , ,F, , ,22,2, ,2,21,33,35,6,3, ,1,1,2,1,2,1,1,1,1,2,2,2,2,3,3,5,1,1,1,1,2,1,2,2,2,2,2,2,1,.138146101,1.39746511039164,1,3,1
85,7,1,1,18,11,2005,1,68,1,2,5,3,3,1,1,1,3,0,1,11, , , ,1,A, , , , , , , ,11,2, ,2,35,33,33,3, , ,1,1,1,1,2,2,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.140700846,-.342996663447284,3,2,2
86,7,6,1,20,11,2005,1,68,1,2,3,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,2,35,35,34,1, , ,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,3,.110113145,-.94898540825222,4,4,1
87,7,9,1,18,11,2005,2,68,1,2,3,2,2,1,1,1,2,0,1,31, ,5,1,2, , , , , , , , ,22,2, ,2,21,33,33,3, , ,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,3,1,1,1,1,2,1,2,2,2,2,2,1,1,.269126682,1.10234476714455,1,4,2
88,7,1,1,21,11,2005,1,71,1,2,4,1,1,1,1,2,1,1,1,11, , , ,1, , , ,D, , , , ,11,2, ,1,35,35,34,3, , ,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,7,.356069425,-.941625713695723,4,3,1
89,7,2,1,18,11,2005,2,71,1,2,4,1,1,0,0,1,1,1,0,31, ,10,2,2, , , , , , , , ,22,2, ,3,21,33,33,3, , ,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,4,2,1,2,1,2,2,2,2,2,2,2,2,7,2.468463934,1.24545889345743,1,2,1
90,7,1,1,17,11,2005,1,73,1,2,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , ,D, ,F, , ,11,1,5,1,31,35,33,3, , ,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,1,.127412575,-.75938370687967,3,3,1
91,7,3,1,17,11,2005,2,73,1,2,3,1,1,1,1,1,1,0,1,31, ,8,2,2, , , , , , , , ,22,2, ,2,21,31,33,8,3, ,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,3,1,1,2,2,2,2,2,2,2,2,1,2,3,.083949066,1.30334681368647,1,4,1
92,7,4,1,18,11,2005,2,73,1,2,5,2,2,1,1,1,2,1,1,31, ,10,1,2, , , , , , , , ,41,2, ,2,21,33,32,2, , ,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,4,2,1,2,2,2,2,2,2,2,2,2,2,3,.075113978,1.3155422263386,1,3,1
93,7,1,1,19,11,2005,1,74,1,1,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,35,35,33,2, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,1,.241933255,-.554415883198822,3,4,2
94,7,3,1,24,11,2005,2,74,1,2,2,1,1,0,0,1,1,0,0,31, ,7,2,2, , , , , , , , ,22,2, ,1,21,31,26,8,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2, , , , , , , , , , , , , , , ,1,1.850283248,1.83432005927198,1,3,1
95,7,1,1,22,11,2005,1,80,1,4,7,2,2,2,2,1,2,0,2,11, , , ,1,A, , , , , , , ,11,2, ,3,31,35,31,1, , ,1,1,1,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.203615332,-.957933739922444,4,4,1
96,7,2,1,15,11,2005,1,80,1,1,3,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,1,35,35,31,1, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,8,1,.236381294,-.994359772858801,5,3,1
97,7,3,1,5,12,2005,1,80,1,1,3,2,2,1,1,1,2,0,1,11, , , ,1,A, , , , , , , ,11,2, ,2,35,35,34,3, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,2,1,2,1,2,2,2,2,2,2,1,.267304977,-1.05044893066901,5,3,2
98,7,4,1,22,11,2005,1,80,3, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, , 
99,7,5,1,25,11,2005,1,80,1,2,5,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,3,31,35,33,1, , ,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,3,1,1,2,2,2,1,2,2,2,2,2,2,2,.124079477,-.714351343601385,3,3,1
100,7,6,1,20,11,2005,1,80,1,1,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,31,35,31,1, , ,1,1,1,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.230032752,-.966371434870002,5,4,1
1,6,1,1,30,11,2005,1,1,1,2,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,1,3,1,35,35,34,3, , ,1,1,1,1,1,2,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.174474709,-1.02963020505038,5,3,1
2,6,3,1,2,12,2005,1,1,1,2,3,1,1,1,1,1,1,0,1,11, , , ,1, , , ,D, , , , ,11,2, ,1,31,31,32,3, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,1,1,2,1,2,1,2,2,2,2,2,1,2,.280638035,-.51302154492478,3,3,1
3,6,4,1,9,12,2005,1,1,1,2,6,1,1,0,0,1,1,2,0,11, , , ,1,A, , , , ,F, , ,11,2, ,2,35,35,34,3, , ,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2.206800443,-.962548183270891,5,4,1
4,6,5,1,2,12,2005,2,1,1,2,5,1,1,1,1,1,1,0,1,12, , , ,1,A, , , , ,F, , ,22,2, ,2,21,34,32,2, , ,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,5,1,1,2,1,2,1,2,2,2,2,2,8,1,.117077426,1.35440146480179,1,3,1
5,6,6,1,28,11,2005,2,1,1,1,2,0,0,0,0,1,0,0,0,31, ,5,2,2, , , , , , , , ,22,1,2,2,21,33,96,1, , ,1,1,1,2,2,2,2,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,1.511011504,1.44247901929744,1,3,2
6,6,1,1,21,11,2005,1,5,1,1,2,1,1,0,0,1,1,1,0,11, , , ,1,A,B, , , , , , ,11,2, ,2,21,33,32,3, , ,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1.641547126,.0951157547552167,2,3,2
7,6,2,1,22,11,2005,1,5,1,2,5,1,1,1,1,1,1,0,1,31, ,10,2,2, , , , , , , , ,41,2, ,2,21,33,33,2, , ,2,1,1,1,1,2,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,2,.101398862,1.25403253907364,1,3,1
8,6,3,1,1,12,2005,2,5,1,1,2,1,1,0,0,1,1,0,0,31, ,10,1,2, , , , , , , , ,22,2, ,2,21,33,35,2, , ,1,1,1,1,2,2,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,1,1.960254526,1.60431620478774,1,4,2
9,6,4,1,21,11,2005,2,5,1,1,8,4,4,2,2,1,4,0,2,12, , , ,2, , , , , , , , ,22,2, ,3,21,33,22,2, , ,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,8,1,1,2,2,2,2,2,2,2,2,2,8,7,.157394547,1.57302266061124,1,3,2
10,6,1,1,29,11,2005,1,7,1,1,2,0,0,0,0,1,0,0,0,11, , , ,1,A, , , , , , , ,11,2, ,2,31,33,33,3, , ,1,1,1,1,2,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,1,1.545857576,-.335827051077108,3,4,1
11,6,2,1,21,11,2005,2,7,1,2,7,1,1,2,2,2,1,1,2,31, ,5,2,2, , , , , , , , ,22,2, ,2,21,33,33,3, , ,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,6,2,1,2,1,2,2,2,2,2,2,2,2,2,.139832688,1.19953278734934,1,3,1
