sampleid,current_occupation,lifetime_occupation,SEX,SEXM,SEXF,AGE,agecat_wmh,age18_34,age35_49,age50_64,age65,educ,educat,ed011,ed12,ed1315,ed16,educ_cat,educ_cat4,marcat,marcoh,marswd,marnev,emp,empw,empst,emph,empr,empoth,occ_LT4,occ_cur4,str,secu,finalp1wt,finalp2wt,hhs,hhincome,income_per_capita,income_wmh,income_cat,income_cat1,income_cat2,income_cat3,income_cat4,mother_occ28,father_occ28,father_educ,mother_educ,higherparent_educ,mother_educ4,father_educ4,higherparent_educ4,mother_educ7,father_educ7,higherparent_educ7,mother_occ4,father_occ4,higherparent_occ4,spouse_lifetime_occupation,spouse_lifetime_occ4,str15
270100054600,0,26,0,0,1,69,4,0,0,0,1,2,1,1,0,0,0,2,1,2,0,1,0,4,0,0,0,1,0,1,0,2,2,.823270547999354,.55961467888896,1,1332,1332,.940677966101695,2,0,1,0,0,26, , ,3,3,1, ,1,2, ,2,1, ,1, , ,331
270100054700,25,25,0,0,1,42,2,0,1,0,0,14,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0,1,1,2,2,.828310979925881,.320173036446035,5,3600,720,.508474576271186,2,0,1,0,0,27,25,7,7,7,1,1,1,3,3,3,1,1,1,25,1,331
270100054800,17,17,1,1,0,43,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,3,0,0,1,0,0,2,2,2,2,1.09399563386437,.551972811318006,5,2400,480,.338983050847458,1,1,0,0,0,20,27,12,10,12,2,2,2,5,6,6,2,1,2,27,1,331
270100054900, , ,1,1,0,47,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,2,2,1.09399563386437, ,5,4560,912,.644067796610169,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100055000, , ,1,1,0,67,4,0,0,0,1,13,3,0,0,1,0,7,3,1,1,0,0,4,0,0,0,1,0, , ,2,2,1.24960708178473, ,3,3960,1320,.932203389830508,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100055100,16,16,1,1,0,29,1,1,0,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0,2,2,2,2,1.34000418982874,2.86910956162009,4,2400,600,.423728813559322,1,1,0,0,0,11,2,20,12,20,2,4,4,6,7,7,3,4,4,10,3,331
270100055200,2,2,0,0,1,43,2,0,1,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0,4,4,2,2,.828310979925881,.320173036446035,5,4548,909.6,.642372881355932,2,0,1,0,0,21,26,4,7,7,1,1,1,3,2,3,2,1,2,18,2,331
270100055300, , ,0,0,1,62,3,0,0,1,0,8,1,1,0,0,0,4,2,1,1,0,0,4,0,0,0,1,0, , ,2,2,.823270547999354, ,2,3000,1500,1.05932203389831,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100055400, , ,0,0,1,51,3,0,0,1,0,10,1,1,0,0,0,5,2,1,1,0,0,1,1,0,0,0,0, , ,2,2,.628373846840323, ,4,6000,1500,1.05932203389831,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100055500,17,17,1,1,0,39,2,0,1,0,0,8,1,1,0,0,0,4,2,1,1,0,0,1,1,0,0,0,0,2,2,2,2,2.30362348989881,1.16228757645598,3,3600,1200,.847457627118644,2,0,1,0,0,6,26, ,12,12,2, ,2,6, ,6,4,1,4,0,0,331
270100055600,26,26,0,0,1,52,3,0,0,1,0,11,1,1,0,0,0,6,2,2,0,1,0,4,0,0,0,1,0,1,1,2,2,.628373846840323,.187183304195654,1,1680,1680,1.1864406779661,3,0,0,1,0,26,1,8, ,8, ,2,2, ,4,4,1,4,4, , ,331
270100055700, , ,0,0,1,39,2,0,1,0,0,15,3,0,0,1,0,7,4,1,1,0,0,3,0,0,1,0,0, , ,2,2,1.15872656674584, ,3,1800,600,.423728813559322,1,1,0,0,0, , , , , , , , , , , , , , , , ,331
270100055800, , ,0,0,1,23,1,1,0,0,0,11,1,1,0,0,0,6,2,2,0,1,0,5,0,0,0,0,1, , ,2,2,.98329737583061, ,5,10080,2016,1.42372881355932,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100055900, , ,0,0,1,31,1,1,0,0,0,11,1,1,0,0,0,6,2,1,1,0,0,3,0,0,1,0,0, , ,2,2,1.15872656674584, ,5,3600,720,.508474576271186,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100056000, , ,1,1,0,70,4,0,0,0,1,12,2,0,1,0,0,6,2,1,1,0,0,4,0,0,0,1,0, , ,2,2,.785467308550404, ,3,3720,1240,.875706214689266,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100056100,0,24,1,1,0,67,4,0,0,0,1,12,2,0,1,0,0,6,2,1,1,0,0,4,0,0,0,1,0,2,0,2,2,1.24960708178473,.709259171628078,2,3120,1560,1.10169491525424,3,0,0,1,0,26, , , ,4, , ,1, , ,2,1, ,1,9,3,331
270100056200, , ,1,1,0,52,3,0,0,1,0,22,4,0,0,0,1,7,4,1,1,0,0,1,1,0,0,0,0, , ,2,2,.725262149428002, ,4,4800,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100056300, , ,0,0,1,29,1,1,0,0,0,11,1,1,0,0,0,6,2,2,0,1,0,1,1,0,0,0,0, , ,2,2,.98329737583061, ,3,1944,648,.457627118644068,1,1,0,0,0, , , , , , , , , , , , , , , , ,331
270100056400, , ,1,1,0,61,3,0,0,1,0,8,1,1,0,0,0,4,2,1,1,0,0,4,0,0,0,1,0, , ,2,2,1.24960708178473, ,2,3600,1800,1.27118644067797,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100056500, , ,0,0,1,54,3,0,0,1,0,15,3,0,0,1,0,7,4,2,0,1,0,1,1,0,0,0,0, , ,2,2,.628373846840323, ,4,7344,1836,1.29661016949153,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100056600,0,7,0,0,1,26,1,1,0,0,0,10,1,1,0,0,0,5,2,1,1,0,0,1,1,0,0,0,0,4,0,2,2,.98329737583061,2.52868547579311,4,4800,1200,.847457627118644,2,0,1,0,0,18,18,13,12,13,2,3,3,6,7,7,2,2,2,27,1,331
270100056700, , ,1,1,0,32,1,1,0,0,0,8,1,1,0,0,0,4,2,3,0,0,1,1,1,0,0,0,0, , ,2,2,2.30362348989881, ,3,2520,840,.593220338983051,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
